X,Y,sigma_xx,sigma_yy,sigma_xy,sigma_1,sigma_3,epsilon_xx,epsilon_yy,epsilon_xy,tau_mob,tau_max,tau_rel,status
0.0,1.9285715,0.060849898,0.04590527,0.0046572457,0.062182434,0.044572733,0.0074940687,0.0036084668,0.0024217675,0.00880485,2.911103,0.0030245753,0.0
0.0,2.0357144,0.08820798,0.08655031,0.008664054,0.09608275,0.07867554,0.009302927,0.0088719325,0.0045053074,0.008703604,2.9034543,0.0029976722,0.0
0.0,1.8214285,0.0063496167,0.008477937,0.004396377,0.0119371135,0.002890441,0.000494351,0.0010477144,0.002286116,0.004523336,2.9214425,0.0015483227,0.0
0.0,1.7142857,0.016682334,0.029309185,0.007951542,0.033148903,0.012842613,0.00075006805,0.004033049,0.004134801,0.010153145,2.9179373,0.0034795622,0.0
0.0,1.2857143,0.063910656,0.05652753,0.014726377,0.07540112,0.045037072,0.007222591,0.005302978,0.007657715,0.015182024,2.909564,0.005217972,0.0
0.0,1.5,0.06499377,0.030137977,0.00895693,0.067160726,0.027971026,0.0094781015,0.00041559784,0.004657603,0.01959485,2.9124103,0.0067280526,0.0
0.0,1.6071428,0.049028207,0.06764813,0.003083065,0.068145335,0.048530992,0.003646579,0.008487758,0.0016031936,0.009807171,2.909987,0.003370177,0.0
0.0,1.3928572,0.035264116,0.053886786,0.010788976,0.05882687,0.030324033,0.0022148993,0.007056793,0.005610267,0.014251419,2.9130828,0.0048922123,0.0
0.0,1.7142857,0.06365962,0.04874679,0.009910905,0.068605796,0.043800622,0.007783801,0.003906464,0.00515367,0.012402587,2.9104674,0.0042613726,0.0
0.0,0.85714287,0.062763326,0.06451464,0.0054477593,0.06915667,0.0581213,0.006390782,0.0068461243,0.0028328346,0.005517684,2.9087946,0.001896897,0.0
0.06855419,2.888058,0.028985837,0.041010324,0.012626916,0.04898329,0.021012872,0.0020766167,0.005202983,0.006565996,0.013985209,2.9152374,0.00479728,0.0
0.06855419,2.888058,0.05898132,0.047302708,0.008139609,0.06315954,0.043124493,0.007044988,0.0040085493,0.0042325966,0.010017524,2.911156,0.0034410811,0.0
0.06855419,2.5666294,0.071600676,0.043880567,0.0012949747,0.07166104,0.043820202,0.009608638,0.0024014101,0.0006733868,0.013920419,2.9101214,0.0047834497,0.0
0.06855419,2.7809153,0.026346792,0.05385436,0.007575477,0.05580263,0.02439852,0.00059447554,0.007746443,0.0039392477,0.015702054,2.9140897,0.0053883223,0.0
0.06855419,2.6737723,0.023286682,0.011289006,0.014619276,0.033090033,0.0014856514,0.0033576332,0.00023823792,0.007602023,0.01580219,2.9192214,0.0054131523,0.0
0.06855419,2.5666294,0.014834148,0.026716653,0.013807493,0.03580688,0.0057439217,0.00061591587,0.0037053667,0.007179896,0.015031479,2.9184368,0.0051505244,0.0
0.06855419,2.2452009,0.05829594,0.04589075,0.0012476725,0.05842018,0.045766503,0.0070303814,0.0038050327,0.00064878963,0.0063268393,2.9113917,0.0021731323,0.0
0.06855419,2.4594865,0.048251398,0.040254686,0.009627096,0.05467743,0.033828657,0.0056418884,0.0035627433,0.00500609,0.010424387,2.9131556,0.0035783832,0.0
0.06855419,2.3523438,0.0040833913,0.00822608,0.006024797,0.012525657,-0.00021618651,0.000101542944,0.0011786419,0.0031328942,0.0063709216,2.9217257,0.0021805337,0.0
0.06855419,2.2452009,0.07479271,0.06488514,0.0071518575,0.07853887,0.06113898,0.008551232,0.005975263,0.0037189655,0.008699946,2.9074,0.002992346,0.0
0.07198849,0.92560166,0.038837247,0.024123024,0.0052614696,0.04052503,0.022435237,0.005186782,0.0013610851,0.002735964,0.009044897,2.9160287,0.003101786,0.0
0.07198849,1.2470303,0.033780072,0.014502174,0.0018693721,0.03395967,0.014322576,0.005016803,4.549989e-06,0.0009720734,0.009818548,2.9176798,0.0033651905,0.0
0.07198849,1.1398875,0.016356511,0.023498451,0.011039776,0.031530432,0.00832453,0.0011440055,0.00300091,0.005740683,0.011602951,2.9186275,0.003975482,0.0
0.07198849,1.0327445,0.038722754,0.05508702,0.0049707144,0.05647856,0.03733121,0.0027507532,0.0070054615,0.0025847713,0.009573676,2.912559,0.0032870322,0.0
0.07198849,1.2470303,0.060497902,0.07271596,0.009728975,0.07809489,0.055118974,0.005338772,0.008515468,0.005059066,0.011487959,2.9081268,0.003950295,0.0
0.07198849,0.92560166,0.06608088,0.044159036,0.012195921,0.071517594,0.03872233,0.0085823145,0.0028826355,0.0063418783,0.016397633,2.910711,0.005633549,0.0
0.09280204,1.3404653,0.06462942,0.042281557,0.0068894816,0.06658262,0.04032835,0.008464592,0.0026541483,0.00358253,0.013127135,2.9110854,0.004509361,0.0
0.09280204,1.3404653,0.012517921,0.005550026,0.01479049,0.02422925,-0.006161305,0.0018453592,3.370693e-05,0.007691054,0.015195278,2.921078,0.0052019423,0.0
0.09280204,1.6618938,0.064303175,0.068500325,0.010166478,0.07678256,0.056020938,0.0063601504,0.0074514113,0.0052865683,0.010380812,2.908173,0.0035695303,0.0
0.09280204,1.554751,0.058066163,0.048317768,0.0070479936,0.061761215,0.04462272,0.006799255,0.0042646723,0.0036649564,0.008569248,2.9111447,0.0029436008,0.0
0.09280204,1.4476081,0.03152164,0.017039131,0.015491897,0.041381106,0.0071796644,0.004407886,0.0006424339,0.008055786,0.017100722,2.9176483,0.005861132,0.0
0.09280204,1.6618938,0.04370985,0.037754286,0.011120613,0.052244466,0.029219676,0.005010358,0.003461911,0.005782718,0.011512395,2.9139476,0.00395079,0.0
0.10340423,0.52359706,0.059261367,0.034471367,0.0061833486,0.060718074,0.033014655,0.008096801,0.0016514016,0.003215341,0.01385171,2.9125676,0.0047558416,0.0
0.10340423,0.52359706,0.057470933,0.05765969,0.009217457,0.06678325,0.04834737,0.005962253,0.0060113296,0.0047930772,0.00921794,2.9101608,0.003167502,0.0
0.10340423,0.84502566,0.05409731,0.055532295,0.0031519982,0.05804743,0.051582173,0.0055141905,0.0058872867,0.0016390389,0.003232628,2.9107797,0.0011105712,0.0
0.10340423,0.6307399,0.03715445,0.03324294,0.011366933,0.04673265,0.02366474,0.0041691605,0.0031521674,0.0059108045,0.011533954,2.9151924,0.0039564986,0.0
0.10340423,0.7378828,0.048294187,0.0747291,0.012392509,0.07963002,0.04339327,0.0029606714,0.009833748,0.006444104,0.018118374,2.9092731,0.006227801,0.0
0.10340423,0.84502566,0.07131981,0.07887919,0.0049157967,0.08130039,0.0688986,0.0068276282,0.008793066,0.002556214,0.0062008947,2.9062166,0.0021336656,0.0
0.113530055,2.1172967,0.03192456,0.013872587,0.0032146955,0.032479946,0.0133172,0.0047282074,3.4695175e-05,0.0016716415,0.009581372,2.9179592,0.0032835868,0.0
0.113530055,1.7958682,0.039499067,0.037932467,0.010426365,0.04917151,0.028260019,0.004230097,0.0038227814,0.0054217093,0.010455746,2.914401,0.003587614,0.0
0.113530055,2.1172967,0.069398195,0.07187806,0.012972514,0.08366977,0.057606492,0.007023982,0.007668747,0.006745707,0.013031637,2.9072201,0.004482508,0.0
0.113530055,2.0101538,0.05902032,0.047256134,0.009400612,0.06422743,0.04204902,0.0070557194,0.0039970307,0.0048883175,0.011089206,2.9111567,0.0038092094,0.0
0.113530055,1.903011,0.047692593,0.03508484,0.004977583,0.049420852,0.03335658,0.0059434334,0.0026654184,0.0025883429,0.008032136,2.9137998,0.0027565847,0.0
0.113530055,1.7958682,0.015215855,0.01331099,0.009244134,0.023556493,0.004970354,0.0017310282,0.0012357633,0.0048069493,0.00929307,2.9199016,0.0031826654,0.0
0.11666667,0.0,0.05764806,0.05441582,0.0045116977,0.060824357,0.05123952,0.006247512,0.0054071294,0.0023460826,0.0047924183,2.9105058,0.001646593,0.0
0.11666667,0.32142857,0.04873563,0.03439425,0.008955529,0.05303753,0.030092351,0.0061871326,0.0024583736,0.0046568746,0.01147259,2.9137602,0.003937383,0.0
0.11666667,0.10714286,0.048896763,0.021997001,0.012584961,0.053866453,0.017027313,0.007183444,0.0001895065,0.0065441793,0.018419571,2.9151363,0.0063185967,0.0
0.11666667,0.21428572,0.061009962,0.029804286,0.004684704,0.06169807,0.029116176,0.008779078,0.0006656024,0.0024360458,0.016290948,2.912896,0.005592698,0.0
0.11666667,0.32142857,0.06678899,0.034532752,0.0032232616,0.06710792,0.03421382,0.009462039,0.00107542,0.0016760959,0.016447052,2.911714,0.005648581,0.0
0.11935539,3.0,0.037799835,0.025984615,0.015943764,0.04889527,0.0148891825,0.0048527694,0.0017808124,0.0082907565,0.017003044,2.915936,0.005831076,0.0
0.13710839,2.776116,0.011253781,0.025515968,0.009994801,0.030662844,0.006106904,5.7942474e-05,0.0037661109,0.005197296,0.01227797,2.9189746,0.004206261,0.0
0.13710839,2.776116,0.06686279,0.0369236,0.003694451,0.06731194,0.036474448,0.009288986,0.0015047964,0.0019211143,0.015418747,2.9114368,0.005295924,0.0
0.13710839,2.5618303,0.06906594,0.06740611,0.0064038658,0.07469344,0.061778605,0.007312324,0.0068807676,0.00333001,0.006457418,2.9077604,0.002220753,0.0
0.13710839,2.6689732,0.03705853,0.04723235,0.0067585385,0.050604425,0.03368645,0.0030605285,0.005705721,0.0035144398,0.008458987,2.9136295,0.0029032473,0.0
0.13710839,2.5618303,0.09263999,0.09156934,0.011789791,0.1039066,0.08030273,0.009718067,0.0094397,0.0061306907,0.011801936,2.9023912,0.00406628,0.0
0.13710839,2.3475447,0.065865226,0.05786283,0.007400297,0.07027675,0.0534513,0.00747417,0.005393546,0.003848154,0.008412726,2.9091938,0.0028917724,0.0
0.13710839,2.4546874,0.037015144,0.053267367,0.009555776,0.057685044,0.03259747,0.0025819011,0.0068074786,0.0049690027,0.012543786,2.9129558,0.0043062055,0.0
0.13710839,2.3475447,0.043126993,0.053414874,0.006803526,0.056800183,0.039741684,0.003682752,0.006357601,0.0035378332,0.00852925,2.9122517,0.0029287473,0.0
0.14397699,0.9940605,0.062370516,0.06554556,0.007806779,0.07192459,0.05599148,0.0062388796,0.0070643905,0.0040595247,0.007966556,2.9087229,0.00273885,0.0
0.14397699,1.2083462,0.0072730742,0.0045280484,0.0073834313,0.013410479,-0.0016093557,0.0009705117,0.0002568049,0.0038393838,0.007509917,2.921783,0.00257032,0.0
0.14397699,1.1012033,0.08303753,0.08898071,0.016119566,0.1024003,0.06961794,0.008172334,0.00971756,0.008382173,0.01639118,2.9037623,0.005644808,0.0
